"","tag_id","test_id","unique_exp_antenna","unique_bold_antenna","latency_exp1","latency_exp2","latency_exp3","latency_exp4","latency_exp5","latency_bold1","latency_bold2","latency_bold3","latency_bold4"
"186","0007A5CE72","mixed10","5","3","0.035","0.142777777777778","0.648333333333333","0.8325","0.898888888888889","0.0227777777777778","0.5225","1.25777777777778",NA
"187","0007A3EFD0","mixed10","5","4","0.0508333333333333","0.756666666666667","0.989444444444444","1.25555555555556","1.47972222222222","0.0241666666666667","0.0647222222222222","0.771666666666667","4.01388888888889"
"188","0007A5D575","mixed10","5","3","0.0252777777777778","0.0675","0.0688888888888889","0.143333333333333","0.246944444444444","1.23027777777778","1.2325","2.1375",NA
"189","0007A5D670","mixed10","5","1","0.0286111111111111","0.0336111111111111","0.0394444444444444","0.0811111111111111","0.222222222222222","1.76916666666667",NA,NA,NA
"190","0007A5D10E","mixed10","5","1","0.0294444444444444","0.0627777777777778","0.133055555555556","0.814166666666667","3.72611111111111","1.71",NA,NA,NA
"191","0007A5DA3E","mixed10","4","4","0.0344444444444444","0.102222222222222","0.456944444444444","1.75277777777778",NA,"0.803333333333333","1.47361111111111","3.01277777777778","3.33583333333333"
"192","0007A5DA82","mixed10","4","4","0.0361111111111111","0.101944444444444","0.108888888888889","0.378333333333333",NA,"0.654722222222222","1.43361111111111","4.55472222222222","4.59333333333333"
"193","0007A5DE00","mixed10","5","4","0.04","0.0869444444444444","0.564444444444444","1.01","1.08972222222222","1.19805555555556","1.34472222222222","1.83805555555556","2.43"
"194","0007A5DBB1","mixed10","5","4","0.0419444444444444","0.0888888888888889","0.111388888888889","0.181666666666667","0.359722222222222","0.374166666666667","0.985555555555556","1.13055555555556","1.74527777777778"
"195","0007A3BDAC","mixed10","2","3","0.0625","1.425",NA,NA,NA,"0.1","0.477222222222222","0.761944444444444",NA
"196","0007A5C595","mixed10","1","2","0.177222222222222",NA,NA,NA,NA,"0.0661111111111111","1.0975",NA,NA
"197","0007A5CC48","mixed10","5","2","0.0747222222222222","0.0794444444444444","0.199166666666667","0.239166666666667","0.935277777777778","2.59361111111111","3.28722222222222",NA,NA
"198","0007A5D83B","mixed11","2","0","0.00388888888888889","0.0894444444444444",NA,NA,NA,NA,NA,NA,NA
"199","0007A5C910","mixed11","5","4","0.00416666666666667","0.0322222222222222","0.394444444444444","1.45944444444444","2.04111111111111","0.461111111111111","0.483611111111111","3.35027777777778","3.68111111111111"
"200","0007A5CAE6","mixed11","5","4","0.00444444444444444","0.128888888888889","0.213055555555556","0.333055555555556","0.388888888888889","0.0677777777777778","0.480555555555556","0.6525","4.11555555555556"
"201","0007A5D910","mixed11","5","1","0.00833333333333333","0.0202777777777778","0.0919444444444444","0.146666666666667","0.149444444444444","4.1075",NA,NA,NA
"202","0007A3CCB5","mixed11","5","3","0.05","0.175277777777778","0.263611111111111","0.277222222222222","0.332222222222222","0.0244444444444444","0.635833333333333","3.87888888888889",NA
"203","0007A5D1AF","mixed11","5","4","0.129166666666667","0.388333333333333","1.58944444444444","2.77444444444444","3.35444444444444","0.0375","0.0413888888888889","0.291111111111111","0.633055555555556"
"204","0007A5C865","mixed11","5","0","0.0494444444444444","0.134444444444444","0.548611111111111","0.703333333333333","2.01638888888889",NA,NA,NA,NA
"205","0007A5DA33","mixed11","4","2","0.190555555555556","4.09805555555556","4.62222222222222","4.93222222222222",NA,"0.0502777777777778","2.215",NA,NA
"206","0007A5CE03","mixed11","5","3","0.0691666666666667","0.0891666666666667","0.1775","0.321111111111111","0.333611111111111","0.0533333333333333","0.483055555555556","0.623055555555556",NA
"207","0007A5DF09","mixed11","5","2","0.0719444444444444","0.0805555555555555","0.0827777777777778","0.176666666666667","0.338611111111111","0.392777777777778","0.650555555555556",NA,NA
"208","0007A5C810","mixed11","5","2","0.126111111111111","1.06027777777778","1.94583333333333","2.00166666666667","2.13861111111111","0.075","0.0783333333333333",NA,NA
"209","0007A5D10C","mixed11","5","0","0.0869444444444444","0.108611111111111","0.116111111111111","0.215","0.25",NA,NA,NA,NA
"210","0007A5D10D","mixed11","5","2","0.108055555555556","0.201666666666667","0.255","0.27","0.900833333333333","4.18944444444444","4.21",NA,NA
"211","0007A5C9CD","mixed11","5","4","0.122777777777778","0.272777777777778","0.818055555555556","1.06972222222222","3.86611111111111","0.149444444444444","3.2025","3.22166666666667","3.62555555555556"
